Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7",0805,4,10u,C5677680
C2,1206,1,22u,C91604
"C4, C6, C8, C9",0402,4,100n,C1525
"D1, D2",D_SOD-882,2,PTVS3V3D1BALYL,C553419
D3,SOT-23,1,SM24CANB-02HTG,C151237
D4,SOT-223-3_TabPin2,1,20CJQ060,C260229
D5,0603,1,GRN,C125094
D6,0603,1,RED,C94869
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,C2988369
J3,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,1,S5B-PH-SM4-TB(LF)(SN),C265104
J4,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,Conn_01x04,C265102
J5,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,C585350
L1,L_Murata_LQH55DN_5.7x5.0mm,1,2.2u,C701284
Q1,SOT-23,1,2N7002K,C81445
"R1, R2",0402,2,5.1K,C105872
"R10, R11, R13, R15, R16, R17, R18, R5, R7, R8, R9",0402,11,10K,C60490
R12,0402,1,22,C114765
"R14, R3, R6",0402,3,1K,C106235
"R20, R21, R4",0402,3,100,C25076
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N4,C2913197
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN330,C2652876
U3,SOT-666,1,USBLC6-2P6,C15999
U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62172DSG,C59873
